Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
181,1,12,Thursday,Ordinary,Thursday of the twelfth week,"Genesis 16:1-12, 15-16",Psalm 105:1-5,,Matthew 7:21-29,,,
182,1,12,Friday,Ordinary,Friday of the twelfth week,"Genesis 17:1, 9-10, 15-22",Psalm 127:1-5,,Matthew 8:1-4,,,
183,1,12,Saturday,Ordinary,Saturday of the twelfth week,Genesis 18:1-15,"Luke 1:46-50, 53-55",,Matthew 8:5-17,,,
184,1,13,Monday,Ordinary,Monday of the thirteenth week,Genesis 18:16-33,"Psalm 102:1-4, 8-11",,Matthew 8:18-22,,,
185,1,13,Tuesday,Ordinary,Tuesday of the thirteenth week,Genesis 19:15-29,"Psalm 25:2-3, 9-12",,Matthew 8:23-27,,,
186,1,13,Wednesday,Ordinary,Wednesday of the thirteenth week,"Genesis 21:5, 8-20","Psalm 33:7-8, 10-13",,Matthew 8:28-34,,,
187,1,13,Thursday,Ordinary,Thursday of the thirteenth week,Genesis 22:1-19,"Psalm 114:1-6, 8-9",,Matthew 9:1-8,,,
188,1,13,Friday,Ordinary,Friday of the thirteenth week,"Genesis 23:1-4, 19; 24:1-8, 62-67",Psalm 105:1-5,,Matthew 9:9-13,,,
189,1,13,Saturday,Ordinary,Saturday of the thirteenth week,"Genesis 27:1-5, 15-29",Psalm 134:1-6,,Matthew 9:14-17,,,
190,1,14,Monday,Ordinary,Monday of the fourteenth week,Genesis 28:10-22,"Psalm 90:1-4, 14-15",,Matthew 9:18-26,,,
191,1,14,Tuesday,Ordinary,Tuesday of the fourteenth week,Genesis 32:23-33,"Psalm 16:1-3, 6-8, 15",,Matthew 9:32-38,,,
192,1,14,Wednesday,Ordinary,Wednesday of the fourteenth week,"Genesis 41:55-57; 42:5-7, 17-24","Psalm 32:2-3, 10-11, 18-19",,Matthew 10:1-7,,,
193,1,14,Thursday,Ordinary,Thursday of the fourteenth week,"Genesis 44:18-21, 23-29; 45:1-5",Psalm 104:16-21,,Matthew 10:7-15,,,
194,1,14,Friday,Ordinary,Friday of the fourteenth week,"Genesis 46:1-7, 28-30","Psalm 36:3-4, 18-19, 27-28, 39-40",,Matthew 10:16-23,,,
195,1,14,Saturday,Ordinary,Saturday of the fourteenth week,Genesis 49:29-33; 50:15-26,"Psalm 104:1-4, 6-7",,Matthew 10:24-33,,,
196,1,15,Monday,Ordinary,Monday of the fifteenth week,"Exodus 1:8-14, 22",Psalm 123,,Matthew 10:34 – 11:1,,,
197,1,15,Tuesday,Ordinary,Tuesday of the fifteenth week,Exodus 2:1-15,"Psalm 68:3, 14, 30-31, 33-34",,Matthew 11:20-24,,,
198,1,15,Wednesday,Ordinary,Wednesday of the fifteenth week,"Exodus 3:1-6, 9-12","Psalm 102:1-4, 6-7",,Matthew 11:25-27,,,
199,1,15,Thursday,Ordinary,Thursday of the fifteenth week,Exodus 3:13-20,"Psalm 104:1, 5, 8-9, 24-27",,Matthew 11:28-30,,,
200,1,15,Friday,Ordinary,Friday of the fifteenth week,Exodus 11:10 – 12:14,"Psalm 115:12-13, 15-18",,Matthew 12:1-8,,,
201,1,15,Saturday,Ordinary,Saturday of the fifteenth week,Exodus 12:37-42,"Psalm 135:1, 10-15, 23-24",,Matthew 12:14-21,,,
202,1,16,Monday,Ordinary,Monday of the sixteenth week,Exodus 14:5-18,Exodus 15:1-6,,Matthew 12:38-42,,,
203,1,16,Tuesday,Ordinary,Tuesday of the sixteenth week,Exodus 14:21 – 15:1,"Exodus 15:8-10, 12, 17",,Matthew 12:46-50,,,
204,1,16,Wednesday,Ordinary,Wednesday of the sixteenth week,"Exodus 16:1-5, 9-15","Psalm 77:18-19, 23-28",,Matthew 13:1-9,,,
205,1,16,Thursday,Ordinary,Thursday of the sixteenth week,"Exodus 19:1-2, 9-11, 16-20",Daniel 3:52-56,,Matthew 13:10-17,,,
206,1,16,Friday,Ordinary,Friday of the sixteenth week,Exodus 20:1-17,Psalm 18:8-11,,Matthew 13:18-23,,,
207,1,16,Saturday,Ordinary,Saturday of the sixteenth week,Exodus 24:3-8,"Psalm 49:1-2, 5-6, 14-15",,Matthew 13:24-30,,,
208,1,17,Monday,Ordinary,Monday of the seventeenth week,"Exodus 32:15-24, 30-34",Psalm 105:19-23,,Matthew 13:31-35,,,
209,1,17,Tuesday,Ordinary,Tuesday of the seventeenth week,"Exodus 33:7-11; 34:5-9, 28",Psalm 102:6-13,,Matthew 13:36-43,,,
210,1,17,Wednesday,Ordinary,Wednesday of the seventeenth week,Exodus 34:29-35,"Psalm 98:5-7, 9",,Matthew 13:44-46,,,
211,1,17,Thursday,Ordinary,Thursday of the seventeenth week,"Exodus 40:16-21, 34-38","Psalm 83:3-6, 8, 11",,"Matthew 13:47, 53",,,
212,1,17,Friday,Ordinary,Friday of the seventeenth week,"Leviticus 23:1, 4-11, 15-16, 27, 34-37","Psalm 80:3-6, 10-11",,Matthew 13:54-58,,,
213,1,17,Saturday,Ordinary,Saturday of the seventeenth week,"Leviticus 25:1, 8-17","Psalm 66:2-3, 5, 7-8",,Matthew 14:1-12,,,
214,1,18,Monday,Ordinary,Monday of the eighteenth week,Numbers 11:4-15,Psalm 80:12-17,,Matthew 14:13-21,,,
215,1,18,Tuesday,Ordinary,Tuesday of the eighteenth week,Numbers 12:1-13,"Psalm 50:3-7, 12-13",,Matthew 14:22-36,,,
216,1,18,Wednesday,Ordinary,Wednesday of the eighteenth week,"Numbers 13:1-2, 25 – 14:1, 26-29, 34-35","Psalm 105:6-7, 13-14, 21-23",,Matthew 15:21-28,,,
217,1,18,Thursday,Ordinary,Thursday of the eighteenth week,Numbers 20:1-13,"Psalm 94:1-2, 6-9",,Matthew 16:13-23,,,
218,1,18,Friday,Ordinary,Friday of the eighteenth week,Deuteronomy 4:32-40,"Psalm 76:12-16, 21",,Matthew 16:24-28,,,
219,1,18,Saturday,Ordinary,Saturday of the eighteenth week,Deuteronomy 6:4-13,"Psalm 17:2-4, 47, 51",,Matthew 17:14-20,,,
220,1,19,Monday,Ordinary,Monday of the nineteenth week,Deuteronomy 10:12-22,"Psalm 147:12-15, 19-20",,Matthew 17:22-27,,,
